City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Quatre Cocos,MU,-20.21,57.76,73.99,73,20,12.75,few clouds
163,Caravelas,BR,-17.71,-39.25,83.68,57,95,9.06,overcast clouds
164,Saravan,AM,39.72,45.65,46.4,65,20,6.93,few clouds
165,Boke,GN,10.94,-14.3,89.22,54,4,6.46,clear sky
166,San Juan,AR,-31.54,-68.54,85.42,28,0,5.95,clear sky
167,Borgarnes,IS,64.54,-21.92,48.2,81,90,12.75,overcast clouds
168,Saint-Pierre,RE,-21.34,55.48,75.2,73,0,10.29,clear sky
169,Severo-Kurilsk,RU,50.68,156.12,36.1,92,100,21.34,overcast clouds
170,Lebu,CL,-37.62,-73.65,58.23,72,7,19.01,clear sky
171,Pisco,PE,-13.7,-76.22,68.0,72,20,11.41,few clouds
172,Ibra,OM,22.69,58.53,72.36,65,25,3.83,scattered clouds
173,Hobyo,SO,5.35,48.53,81.12,77,39,18.5,scattered clouds
174,Basco,PH,20.45,121.97,78.62,83,99,32.77,overcast clouds
175,Pangnirtung,CA,66.15,-65.71,15.8,66,75,2.24,broken clouds
176,Sitka,US,57.05,-135.33,42.8,87,90,3.36,light rain
177,Waitara,NZ,-38.92,174.25,46.0,90,100,17.0,light rain
178,Rancho Veloz,CU,22.88,-80.39,75.2,100,75,4.7,broken clouds
179,Kita,ML,13.03,-9.49,95.41,13,0,6.44,clear sky
180,Tikapur,NP,28.5,81.13,66.06,53,0,4.43,clear sky
181,Kenai,US,60.55,-151.26,24.8,85,1,9.17,clear sky
182,Verkhnyaya Inta,RU,65.98,60.31,19.63,98,99,5.64,light snow
183,Hualmay,PE,-11.1,-77.61,69.4,63,98,11.92,overcast clouds
184,Coolum Beach,AU,-26.53,153.1,64.99,84,11,1.99,few clouds
185,Isangel,VU,-19.55,169.27,74.3,81,85,14.43,overcast clouds
186,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,19.4,73,100,13.42,overcast clouds
187,Carolina,PR,18.38,-65.96,87.01,70,40,18.34,shower rain
188,Nome,US,64.5,-165.41,28.99,86,90,17.22,light snow
189,Am Timan,TD,11.03,20.28,84.81,28,10,0.58,clear sky
190,Kalabo,ZM,-14.97,22.68,87.49,28,92,6.06,overcast clouds
191,Changli,CN,39.7,119.15,42.89,53,0,4.25,clear sky
192,Novoagansk,RU,61.94,76.66,25.72,98,98,2.64,overcast clouds
193,Cuamba,MZ,-14.8,36.54,86.38,26,24,5.5,few clouds
194,Ashqelon,IL,31.67,34.57,73.4,69,40,3.36,scattered clouds
195,Kerema,PG,-7.96,145.78,77.2,90,100,9.08,light rain
196,Chauny,FR,49.62,3.22,60.01,87,0,6.93,clear sky
197,Chuy,UY,-33.7,-53.46,68.18,64,100,11.36,overcast clouds
198,Port Alfred,ZA,-33.59,26.89,62.02,62,100,12.44,overcast clouds
199,Lagoa,PT,39.05,-27.98,64.9,77,30,16.28,scattered clouds
200,Antsohihy,MG,-14.88,47.99,82.45,60,89,2.19,light rain
201,Cidreira,BR,-30.18,-50.21,67.75,88,100,17.49,light rain
202,Katherine,AU,-14.47,132.27,86.0,55,20,5.82,few clouds
203,Shamary,RU,57.34,58.22,30.11,98,100,11.18,overcast clouds
204,Naryan-Mar,RU,67.67,53.09,25.9,98,98,6.46,overcast clouds
205,Stornoway,GB,58.21,-6.39,53.6,87,75,4.7,broken clouds
206,Minsk,BY,53.9,27.57,32.0,81,40,6.71,scattered clouds
207,Warangal,IN,18.0,79.58,64.54,56,0,6.17,clear sky
208,Bredasdorp,ZA,-34.53,20.04,60.8,51,0,13.87,clear sky
209,Lafia,NG,8.48,8.52,84.15,36,58,3.49,broken clouds
210,Te Anau,NZ,-45.42,167.72,40.68,91,25,2.06,scattered clouds
211,Castro,BR,-24.79,-50.01,84.11,37,39,11.07,scattered clouds
212,Pointe Michel,DM,15.25,-61.38,78.8,94,75,12.75,light intensity shower rain
213,Wiehl,DE,50.95,7.53,59.0,77,0,3.36,clear sky
214,Barrow,US,71.29,-156.79,10.4,78,20,13.87,few clouds
215,Ondjiva,AO,-17.07,15.73,96.8,15,20,6.93,few clouds
216,Asau,RO,46.43,26.4,41.0,97,82,1.83,broken clouds
217,Abu Zabad,SD,12.35,29.25,81.28,19,92,10.69,overcast clouds
218,Zeya,RU,53.75,127.27,5.18,86,0,1.63,clear sky
219,Hithadhoo,MV,-0.6,73.08,83.97,76,97,13.87,heavy intensity rain
220,Yurimaguas,PE,-5.9,-76.08,87.8,66,40,4.7,scattered clouds
221,La Ronge,CA,55.1,-105.28,8.6,78,0,8.05,clear sky
222,Katsuura,JP,35.13,140.3,55.4,58,75,10.29,broken clouds
223,Imeni Poliny Osipenko,RU,52.42,136.49,6.69,89,21,1.54,few clouds
224,Durusu,TR,41.31,28.68,62.6,82,75,21.92,broken clouds
225,Saskylakh,RU,71.92,114.08,6.87,93,100,28.83,light snow
226,Vardo,NO,70.37,31.11,30.2,79,90,33.33,overcast clouds
227,Fort Nelson,CA,58.81,-122.7,15.8,92,75,1.86,broken clouds
228,Nioro,GM,13.35,-15.75,98.08,21,0,2.91,clear sky
229,Iqaluit,CA,63.75,-68.51,5.0,71,40,4.7,scattered clouds
230,Shache,CN,38.42,77.24,37.87,53,100,1.99,overcast clouds
231,Aloleng,PH,16.13,119.78,79.66,81,97,5.48,overcast clouds
232,Yueyang,CN,29.33,113.09,56.95,60,0,2.28,clear sky
233,Hofn,IS,64.25,-15.21,48.2,93,90,17.22,drizzle
234,Morros,BR,-9.45,-46.3,90.41,41,97,8.72,overcast clouds
235,Pangai,TO,-19.8,-174.35,76.39,84,22,17.58,light rain
236,El Rosario,MX,24.26,-107.18,86.0,69,5,3.36,clear sky
237,Kirakira,SB,-10.45,161.92,81.03,82,48,6.76,moderate rain
238,Touros,BR,-5.2,-35.46,78.8,94,75,13.87,shower rain
239,Salalah,OM,17.02,54.09,82.4,61,0,3.36,clear sky
240,Rio Grande,BR,-32.03,-52.1,66.2,93,90,14.99,mist
241,Tabou,CI,4.42,-7.35,81.23,78,66,8.21,light rain
242,Nanortalik,GL,60.14,-45.24,27.23,96,100,10.36,light snow
243,Vila Franca Do Campo,PT,37.72,-25.43,66.2,63,75,13.87,broken clouds
244,Lakselv,NO,70.05,24.97,35.6,80,75,20.8,light rain
245,Wiwili,NI,13.63,-85.83,73.4,94,75,3.04,broken clouds
246,Omegna,IT,45.88,8.41,55.99,72,3,4.0,clear sky
247,Bubaque,GW,11.28,-15.83,83.43,75,15,9.98,few clouds
248,Bud,US,39.45,-86.18,66.99,68,90,6.93,overcast clouds
249,Edd,ER,13.93,41.69,84.52,50,0,19.26,clear sky
250,Kodiak,US,57.79,-152.41,41.0,52,1,17.22,clear sky
251,Hasaki,JP,35.73,140.83,44.6,81,40,6.93,scattered clouds
252,Jitra,MY,6.27,100.42,77.0,94,20,2.24,few clouds
253,Port Lincoln,AU,-34.73,135.87,72.77,40,17,19.22,few clouds
254,Feijo,BR,-8.16,-70.35,97.16,38,69,2.26,broken clouds
255,Muros,ES,42.78,-9.06,60.01,79,3,5.01,clear sky
256,Ahipara,NZ,-35.17,173.17,53.17,89,46,7.31,scattered clouds
257,Rio Gallegos,AR,-51.62,-69.22,53.6,46,40,14.99,scattered clouds
258,Kathmandu,NP,27.72,85.32,55.4,82,20,3.36,few clouds
259,Burnie,AU,-41.07,145.92,55.99,82,89,4.0,overcast clouds
260,Inongo,CD,-1.95,18.27,70.07,95,100,5.75,overcast clouds
261,Riyadh,SA,24.69,46.72,80.6,36,0,4.7,clear sky
262,San Policarpo,PH,12.18,125.51,79.66,85,100,4.65,moderate rain
263,Port-Cartier,CA,50.03,-66.87,34.0,85,90,3.36,overcast clouds
264,Vao,NC,-22.67,167.48,70.2,74,42,16.91,scattered clouds
265,Kruisfontein,ZA,-34.0,24.73,59.0,68,7,1.99,clear sky
266,Upernavik,GL,72.79,-56.15,0.27,82,100,9.53,overcast clouds
267,Rincon,US,32.3,-81.24,80.01,74,75,17.22,broken clouds
268,Port-Gentil,GA,-0.72,8.78,82.4,78,75,11.41,broken clouds
269,Port Macquarie,AU,-31.43,152.92,55.99,85,43,4.56,scattered clouds
270,Klaksvik,FO,62.23,-6.59,51.8,93,85,12.75,overcast clouds
271,Waingapu,ID,-9.66,120.26,80.65,72,100,4.94,overcast clouds
272,Ocampo,MX,21.65,-101.5,69.87,30,2,2.24,clear sky
273,San Andres,CO,12.58,-81.7,82.4,83,75,8.05,shower rain
274,Umm Lajj,SA,25.02,37.27,78.66,60,0,8.41,clear sky
275,Grand Gaube,MU,-20.01,57.66,73.99,69,10,5.99,clear sky
276,Rizhao,CN,35.43,119.46,48.96,47,0,3.09,clear sky
277,Hay River,CA,60.82,-115.8,19.4,79,66,11.41,broken clouds
278,Honningsvag,NO,70.98,25.97,39.2,64,75,20.8,light rain
279,New Waterford,US,40.85,-80.61,71.01,56,0,7.0,clear sky
280,Katobu,ID,-4.94,122.53,75.15,87,97,3.87,overcast clouds
281,Kayerkan,RU,69.35,87.76,15.8,92,40,8.95,light snow
282,Khani,GE,41.96,42.96,50.0,93,0,2.24,clear sky
283,Tazmalt,DZ,36.39,4.4,69.8,77,40,6.93,scattered clouds
284,Torbay,CA,47.67,-52.73,41.0,64,90,16.11,light rain
285,Ancud,CL,-41.87,-73.82,64.4,59,0,18.34,clear sky
286,Tsumeb,NA,-19.23,17.72,84.76,26,55,14.72,broken clouds
287,La Rioja,ES,42.25,-2.5,59.0,77,40,3.36,scattered clouds
288,Gladstone,AU,-23.85,151.25,66.2,63,40,4.7,scattered clouds
289,Saint-Denis,FR,48.92,2.33,62.01,77,0,5.82,clear sky
290,Korcula,HR,42.96,17.14,57.2,58,0,2.24,clear sky
291,Lorengau,PG,-2.02,147.27,80.83,76,89,1.63,overcast clouds
292,Wanning,CN,18.8,110.4,70.41,86,100,19.44,overcast clouds
293,Kushima,JP,31.46,131.23,53.73,76,7,3.69,clear sky
294,Royan,FR,45.63,-1.03,64.4,72,0,4.7,clear sky
295,Conceicao Da Barra,BR,-18.59,-39.73,83.12,63,51,10.89,broken clouds
296,Thompson,CA,55.74,-97.86,14.0,85,90,16.11,light snow
297,Pundaguitan,PH,6.37,126.17,82.74,78,100,9.51,overcast clouds
298,Mogok,MM,22.92,96.5,60.19,92,0,2.01,clear sky
299,Acarau,BR,-2.89,-40.12,89.67,51,11,20.87,few clouds
300,Gravdal,NO,68.12,13.5,37.4,64,75,11.41,broken clouds
301,Aswan,EG,24.09,32.91,72.9,28,0,5.99,clear sky
302,Port Hardy,CA,50.7,-127.42,41.0,86,90,6.93,light rain
303,Beringovskiy,RU,63.05,179.32,34.29,96,100,35.37,overcast clouds
304,Sao Miguel Do Araguaia,BR,-13.28,-50.16,93.09,39,96,1.59,overcast clouds
305,Areka,ET,7.07,37.7,65.12,66,61,5.35,broken clouds
306,Kushmurun,KZ,52.45,64.63,33.87,86,25,10.98,scattered clouds
307,Muzhi,RU,65.37,64.67,20.55,96,99,6.64,overcast clouds
308,Wyndham,US,37.7,-77.61,75.99,60,1,1.77,clear sky
309,Muroto,JP,33.28,134.15,58.08,58,5,12.71,clear sky
310,Port Moresby,PG,-9.44,147.18,78.8,78,75,5.82,broken clouds
311,Nabire,ID,-3.37,135.48,76.28,86,100,2.77,overcast clouds
312,Eidfjord,NO,60.47,7.07,30.99,77,19,5.35,few clouds
313,Xining,CN,36.62,101.77,38.03,53,0,1.1,clear sky
314,Sisimiut,GL,66.94,-53.67,15.71,93,88,12.39,overcast clouds
315,Longyearbyen,SJ,78.22,15.64,23.0,67,75,5.82,broken clouds
316,Lewistown,US,40.6,-77.57,69.01,63,1,3.22,clear sky
317,Jumla,NP,29.27,82.18,45.01,63,2,3.62,clear sky
318,Caceres,ES,39.52,-6.37,59.0,83,39,6.2,scattered clouds
319,Srivardhan,IN,18.03,73.02,76.53,63,0,5.03,clear sky
320,Ippy,CF,6.27,21.22,75.69,62,67,0.78,broken clouds
321,Weiser,US,44.25,-116.97,30.99,54,90,9.17,overcast clouds
322,Kandrian,PG,-6.22,149.55,78.19,88,98,9.62,moderate rain
323,Gazli,UZ,40.13,63.45,39.79,72,0,3.24,clear sky
324,Lasa,IT,46.62,10.7,48.2,61,5,2.46,clear sky
325,Samarai,PG,-10.62,150.67,79.11,85,99,13.06,light rain
326,Tynda,RU,55.17,124.72,-1.91,89,93,0.89,overcast clouds
