City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1127,Vallenar,CL,85.69,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
1130,Araouane,ML,89.6,clear sky,18.9,-3.53,
1133,Port Blair,IN,80.76,light rain,11.67,92.75,Fortune Resort Bay Island
1135,Kodinar,IN,77.13,clear sky,20.79,70.7,"Hotel Krishna Park, Kodinar"
1140,Puerto Colombia,CO,86.0,scattered clouds,10.99,-74.95,Hotel El Emigrante
1142,Jacareacanga,BR,94.68,broken clouds,-6.22,-57.75,Casa do Ian😎
1145,Muisne,EC,84.2,scattered clouds,0.6,-80.03,Quinta Samay
1148,Calama,CL,75.2,clear sky,-22.47,-68.93,Park Hotel Calama
1152,Aguadilla,PR,87.8,moderate rain,18.43,-67.15,WSSM Surf House
1154,Wajir,KE,82.87,scattered clouds,1.75,40.06,Al- Amin lodge
1155,Meulaboh,ID,77.45,overcast clouds,4.14,96.13,Kost Pria
1157,Ko Samui,TH,81.34,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
1159,Mildura,AU,77.0,light rain,-34.2,142.15,Mercure Hotel Mildura
1163,Oak Ridge,US,75.99,clear sky,36.01,-84.27,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
1165,Pascagoula,US,80.6,broken clouds,30.37,-88.56,Regency Inn
1166,Marrakesh,MA,75.2,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
1171,Keti Bandar,PK,78.4,clear sky,24.14,67.45,Haji laloo memon house
1173,Mabaruma,GY,82.62,light rain,8.2,-59.78,
1174,Ambilobe,MG,78.26,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
1176,Lagunas,PE,88.93,light rain,-5.23,-75.68,Hospedaje Eco
1178,Tual,ID,83.89,light rain,-5.67,132.75,Grand Vilia Hotel
1180,Maumere,ID,81.37,moderate rain,-8.62,122.21,Sylvia Hotel
1184,Lichinga,MZ,78.8,few clouds,-13.31,35.24,Residencial Bendiak
1185,Camopi,GF,93.97,clear sky,3.17,-52.32,
1186,Iquitos,PE,80.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
1188,Nyimba,ZM,91.31,broken clouds,-14.56,30.81,Dali Dali Lodge
1189,Celestun,MX,79.86,light rain,20.87,-90.4,Posada Lilia
1192,El Tigre,VE,84.88,light rain,8.89,-64.25,Hotel Santa Cruz
1196,Murfreesboro,US,78.01,scattered clouds,35.85,-86.39,Holiday Inn Express Murfreesboro Central
1200,Luena,AO,76.15,broken clouds,-11.78,19.92,Hotel Kandamba
1201,Pucallpa,PE,87.8,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
1203,San Matias,BO,89.87,moderate rain,-16.37,-58.4,"HOTEL ""SAN JOSE"""
1210,Coahuayana,MX,77.0,clear sky,18.73,-103.68,Hotel Los Arcos
1211,Ambon,ID,78.01,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
1221,Tamale,GH,92.19,overcast clouds,9.4,-0.84,Tap Hotel
1222,Maningrida,AU,79.02,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
1223,Mlonggo,ID,80.4,light rain,-6.53,110.7,Asia Metal Art
1225,Inhambane,MZ,86.0,clear sky,-23.86,35.38,Oceano
1229,Aitape,PG,79.11,overcast clouds,-3.14,142.35,
1230,Ayna,PE,75.2,few clouds,-12.65,-73.92,
1233,Conceicao Do Araguaia,BR,92.59,broken clouds,-8.26,-49.26,Tarumã Tropical Hotel
1234,Beira,MZ,82.4,few clouds,-19.84,34.84,Beira Terrace Hotel
1240,Nouakchott,MR,91.81,broken clouds,18.09,-15.98,Hôtel Iman
1246,Agua Verde,MX,87.01,clear sky,22.9,-106.05,
1247,Ampanihy,MG,84.78,few clouds,-24.7,44.75,Angora Hotel
1250,Vieux Fort,LC,80.6,broken clouds,13.72,-60.95,QR Quality Rooms Cedar Palm Villa
1253,Kapoeta,SS,82.76,light rain,4.77,33.59,Eastgate Hotel
1255,Takoradi,GH,81.68,scattered clouds,4.88,-1.76,Raybow International Hotel
1258,Okitipupa,NG,80.2,overcast clouds,6.5,4.78,Coastal Hotel & Suites
1259,Jibuti,DJ,82.4,clear sky,11.5,42.5,Orchid Main Camp Goubet
1262,Rayong,TH,78.01,few clouds,12.83,101.43,Purimas Beach Hotel
1264,Bontang,ID,78.4,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
1267,Norton,ZW,84.99,scattered clouds,-17.88,30.7,Chingwara Mansion
1279,Bushehr,IR,82.4,clear sky,28.97,50.84,Yas Hotel
1283,Manggar,ID,80.62,overcast clouds,-2.88,108.27,Guest Hotel
1287,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
1290,Phuket,TH,84.99,broken clouds,8.0,98.25,The Surin Phuket
1292,Bodden Town,KY,81.0,broken clouds,19.28,-81.25,Will T Place
1300,Nortelandia,BR,85.59,overcast clouds,-14.45,-56.8,Hotel Karysmã
1304,Andros Town,BS,84.2,scattered clouds,24.7,-77.77,Hanks place
1308,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
1313,Bela Vista Do Paraiso,BR,95.0,moderate rain,-23.0,-51.19,Hotel Pasettu's
1315,Nueva Gorgona,PA,84.2,scattered clouds,8.55,-79.87,Coronado Luxury Club & Suites
1316,Erzin,TR,75.0,broken clouds,36.96,36.2,Artemis Otel
1317,Manaure,CO,85.06,few clouds,11.78,-72.44,Del mar vendra
1319,Simbahan,PH,82.98,overcast clouds,6.3,120.58,
1320,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
1324,Rock Sound,BS,80.44,clear sky,24.9,-76.2,Rock Sound Club
1326,Domoni,KM,77.47,broken clouds,-12.26,44.53,Loulou
1331,Auki,SB,78.33,scattered clouds,-8.77,160.7,Auki Motel
1336,Nhulunbuy,AU,78.8,broken clouds,-12.23,136.77,East Arnhem Real Estate
1337,Canutama,BR,93.45,overcast clouds,-6.53,-64.38,Hotel Jhennifer
1339,Upata,VE,84.54,broken clouds,8.01,-62.4,Posada Villa Nela
1341,Nueva Loja,EC,84.2,clear sky,0.08,-76.88,Limoncocha Great Hotel
1342,Tshane,BW,82.13,light rain,-24.02,21.87,
1344,Galle,LK,80.87,heavy intensity rain,6.04,80.22,Amangalla
1345,Manzanillo,CU,85.57,clear sky,20.34,-77.12,Adrian & Tonia
1349,Kattivakkam,IN,80.6,few clouds,13.22,80.32,St. Joseph Thirumana mandapam
1350,Iguguno,TZ,76.24,overcast clouds,-4.57,34.63,
1354,Cartagena,CO,84.22,broken clouds,10.4,-75.51,Costa Del Sol
1357,Tatawin,TN,77.0,few clouds,32.93,10.45,Sangho Privilege Tataouine
1359,Mandera,KE,87.46,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
1363,Santa Ines,BR,88.43,broken clouds,-3.67,-45.38,HOTEL TOP
1366,Ahuimanu,US,78.8,broken clouds,21.44,-157.84,Paradise Bay Resort
1368,Shenzhen,CN,75.0,light rain,22.55,114.07,Shun Hing Square
1369,Anloga,GH,87.8,few clouds,5.79,0.9,Pin Drop Hotel
1370,Edgewater,US,75.99,mist,28.99,-80.9,Islander Beach Resort
1371,Iracoubo,GF,85.05,scattered clouds,5.48,-53.2,Le Gite D Iracoubo
1373,Savannah Bight,HN,78.8,broken clouds,16.45,-85.85,Villa on Dunbar Rock
1382,Saurimo,AO,75.7,broken clouds,-9.66,20.39,Hotel Kawissa Saurimo
1383,Posse,BR,88.29,overcast clouds,-14.09,-46.37,Pousada das Palmeiras
1391,Alappuzha,IN,81.79,moderate rain,9.49,76.33,Panoramic Sea Resort
